lookback_bars,z_entry,z_exit,confirm_bars,stop_multiple,momentum_threshold,min_hold_bars,skip_first_minutes,z_spread_threshold,exit_tighten_bars,exit_tighten_rate,volume_spike_multiple,per_leg_exit,time_weight_enabled,profit_factor,win_rate,sharpe,sortino,calmar,net_pnl,max_dd_pct,max_dd_dollars,total_trades,avg_winner,avg_loser,expectancy,avg_hold_bars,best_day,worst_day
60,2.0,0.5,2,4.0,0.75,3,0,2.0,25,0.01,1.0,False,False,1.1036797711894701,0.4883004926108374,1.7770066446920458,3.9060220322820456,3.0973101265822693,19574.99999999994,0.05729568015955759,6320.0,1624,262.77112232030254,-227.19915764139589,12.053571428571388,11.187807881773399,10680.0,-3290.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,25,0.04,1.0,True,False,1.2013532801184126,0.492014742014742,1.9455776917696201,4.902804630844526,3.6092861655085393,28567.500000000087,0.07870140200855126,7915.0,1628,212.7902621722847,-171.55683192261182,17.547604422604476,7.656633906633907,10085.0,-2875.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,25,0.04,1.5,True,False,1.1995620399440683,0.499063670411985,2.0446783797603962,3.596678614398655,3.084828711256127,18910.00000000006,0.061083154800458374,6130.0,1068,213.25984990619148,-177.11682242990653,17.705992509363348,9.308988764044944,3470.0,-3040.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,40,0.01,1.3,False,True,1.2415212937361986,0.5102040816326531,2.3004643399530784,5.977048996740753,4.652107279693458,30354.99999999981,0.059036417100203575,6525.0,980,312.07499999999993,-261.83854166666697,30.974489795918178,13.311224489795919,10680.0,-3425.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,15,0.04,1.3,False,True,1.2325586075057833,0.5061224489795918,2.156495352383849,5.58424010818673,4.600716560509522,28892.499999999796,0.05681972404433386,6280.0,980,308.7298387096773,-256.6890495867772,29.48214285714264,13.119387755102041,10680.0,-3425.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,25,0.01,1.0,True,True,1.2359569818758311,0.4949664429530201,1.766493787257984,4.5439064344456295,3.4788376500315983,27535.000000000102,0.0788385875790627,7915.0,1192,244.4576271186442,-193.84551495016606,23.099832214765183,8.791107382550335,10085.0,-2875.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,25,0.01,1.0,False,True,1.1703678985567694,0.5008445945945946,2.0278624600616073,4.775944078865375,4.127324171382365,25527.499999999927,0.05640932099046924,6185.0,1184,295.7251264755481,-253.53214890016935,21.560388513513455,12.443412162162161,10680.0,-2960.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,15,0.02,1.3,True,False,1.2879901421467232,0.495253164556962,2.327966518680141,6.793797392965637,5.124510571652306,32719.99999999997,0.06348811772894501,6385.0,1264,233.76198083067092,-178.0799373040753,25.88607594936706,8.58623417721519,10085.0,-1985.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,15,0.01,1.0,False,False,1.1076440768409814,0.4870689655172414,1.7857933672249497,3.941834044203897,3.191851265822771,20172.499999999913,0.05729568015955759,6320.0,1624,262.41782553729445,-224.96998799519807,12.421490147783201,11.128694581280788,10680.0,-3290.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,25,0.01,1.0,True,False,1.2013532801184126,0.492014742014742,1.9455776917696201,4.902804630844526,3.6092861655085393,28567.500000000087,0.07870140200855126,7915.0,1628,212.7902621722847,-171.55683192261182,17.547604422604476,7.656633906633907,10085.0,-2875.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,25,0.02,1.0,False,False,1.1036797711894701,0.4883004926108374,1.7770066446920458,3.9060220322820456,3.0973101265822693,19574.99999999994,0.05729568015955759,6320.0,1624,262.77112232030254,-227.19915764139589,12.053571428571388,11.187807881773399,10680.0,-3290.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,40,0.01,1.5,True,True,1.2485682270916336,0.5082547169811321,1.927368334927312,3.3604804405290825,3.2569331158238195,19965.000000000015,0.061083154800458374,6130.0,848,232.67981438515085,-192.61390887290167,23.543632075471717,10.57311320754717,3470.0,-3040.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,15,0.04,1.3,False,False,1.1583553224890597,0.4937106918238994,2.064148171955045,5.024982156704149,4.17709251101318,23704.999999999796,0.05104105769663174,5675.0,1272,276.11464968152836,-232.4456521739131,18.636006289308014,11.846698113207546,10680.0,-3755.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,40,0.01,1.5,False,True,1.2742565032358777,0.5280373831775701,2.4934311234761397,4.445393111362262,4.051711309523792,27227.499999999884,0.06665013637490702,6720.0,856,279.8783185840708,-245.7363861386142,31.80782710280361,13.81892523364486,3870.0,-3425.0
