lookback_bars,z_entry,z_exit,confirm_bars,stop_multiple,momentum_threshold,min_hold_bars,skip_first_minutes,profit_factor,win_rate,sharpe,sortino,calmar,net_pnl,max_dd_pct,max_dd_dollars,total_trades,avg_winner,avg_loser,expectancy,avg_hold_bars,best_day,worst_day
30,1.5,0.3,2,3.0,0.75,5,0,0.9936628828918284,0.4948377581120944,-0.12058471704270718,-0.1906025304343898,-0.14743851066720506,-5424.999999999811,0.29869708162519787,36795.0,6780,253.54470938897168,-249.9467153284671,-0.8001474926253419,11.778171091445428,14675.0,-8090.0
30,1.5,0.5,2,3.0,0.75,5,0,0.9938723704968742,0.49323935558112775,-0.30504717288339805,-0.4836129358615788,-0.1477799372103449,-4942.499999999985,0.2895545647374573,33445.0,6952,233.78536016331293,-228.95046835083735,-0.7109464902186398,10.447784810126583,13715.0,-7725.0
30,1.5,0.3,2,2.0,0.75,3,0,1.0003771739889644,0.4967479674796748,0.10467100034865216,0.15084436669447537,0.00968088920760703,270.00000000016007,0.23402559261590097,27890.0,7380,195.34097108565206,-192.74367259019934,0.03658536585368041,7.59810298102981,6205.0,-6125.0
30,1.5,0.3,2,4.0,0.75,5,30,1.0099194179480135,0.4958471760797342,0.2065428387320053,0.32271426072762294,0.24676788935659935,8207.500000000495,0.30136365695646267,33260.0,6020,279.9413735343383,-272.62520593080706,1.363372093023338,15.58936877076412,7805.0,-4695.0
30,1.5,0.5,2,2.0,0.75,5,0,0.9977490526708355,0.49461028192371476,-0.32006449793290903,-0.5014392773189918,-0.045855379188715684,-1690.0000000001164,0.30592678675188845,36855.0,7236,209.30567197541217,-205.30352748154232,-0.2335544499723774,8.631149806522942,13725.0,-6560.0
30,1.5,0.5,2,2.0,0.65,3,0,0.9973913845424164,0.49549968963376784,-0.11051386194455347,-0.15623149146756685,-0.07869634340223038,-1485.0000000000873,0.17619870208693217,18870.0,6444,177.82101471969946,-175.1053521993234,-0.23044692737431366,7.4658597144630665,3975.0,-5195.0
30,1.5,0.5,2,3.0,0.75,5,30,0.9885061760644847,0.4939061547836685,-0.455115120238477,-0.6951100365605938,-0.27576102881328435,-8470.00000000003,0.2919815580588431,30715.0,6564,224.69077729796422,-221.82947019867552,-1.2903717245582005,10.68601462522852,9140.0,-4995.0
30,1.5,0.3,2,3.0,0.75,3,0,0.9787478211243937,0.49624927870744373,-0.3736086471412837,-0.5129630958466954,-0.43504761904760353,-17129.99999999939,0.3282617757398916,39375.0,6932,229.33284883720944,-230.82331042382583,-2.47114829774948,11.005193306405078,6460.0,-8225.0
30,1.5,0.5,3,3.0,0.75,3,30,0.9375051542990974,0.4930769230769231,-0.23418670284953394,-0.3068584290950948,-0.8106546854942296,-9472.500000000073,0.10957940638627092,11685.0,1300,221.68486739469589,-230.0037936267073,-7.286538461538518,13.531538461538462,1980.0,-3470.0
30,1.5,0.5,3,3.0,0.75,5,0,0.8831697324644614,0.47997032640949555,-0.6747300825341059,-0.8286901483217762,-1.2759759759759777,-21245.00000000003,0.15826243999809894,16650.0,1348,248.22256568778997,-259.407988587732,-15.760385756676582,13.90207715133531,2340.0,-5915.0
30,1.5,0.5,3,3.0,0.75,3,0,0.9037708166321295,0.49041297935103245,-0.5745292954697715,-0.6969278207152205,-1.0761163734776764,-15905.000000000058,0.14052101159916333,14780.0,1356,224.6278195488723,-239.19319826338662,-11.729351032448418,12.61504424778761,1980.0,-6425.0
30,1.5,0.5,3,3.0,0.75,5,30,0.9041520161591977,0.48142414860681115,-0.3540809866670484,-0.45685289788850686,-1.24873294346979,-16015.000000000058,0.12136841109113278,12825.0,1292,242.8818327974278,-249.38432835820916,-12.395510835913356,14.83513931888545,2340.0,-4065.0
30,2.0,0.3,2,2.0,0.65,3,30,1.071599230784173,0.5,0.5653203685316323,0.824546078559397,0.6453081232493018,9215.00000000003,0.14161749392572023,14280.0,1240,222.4475806451614,-207.58467741935488,7.431451612903255,10.201612903225806,3325.0,-2020.0
